OBJECTID,TCE_NM_RIO,TCE_DS_CLASSE,SHAPE_Length
1,Rio São Mateus,3,0.0189283026742349
2,Canal de São Gonçalo,3,0.00112238040592182
3,Arroio da Mina,4,0.031301564657043
4,Arroio Jaguarão Chico,4,0.0179251210551728
5,Rio Jaguarão,4,0.00813431885597172
6,Rio Jaguarão,4,0.0187004545142056
7,Rio Jaguarão,4,0.0376766185971348
8,Rio Jaguarão,4,0.0623933998453433
9,Rio Jaguarão,4,0.00391290798312314
10,Rio Jaguarão,4,0.0518403883484244
11,Rio Jaguarão,4,0.0365690092124459
12,Rio Jaguarão,4,0.0424381134639722
13,Lagoa Mirim,3,0.0430551741025955
14,Rio Jaguarão,3,0.0569904519317239
15,Rio Jaguarão,3,0.0537192990445868
16,Rio Jaguarão,3,0.0198514478829061
17,Rio Jaguarão,3,0.0350143252022708
18,Lagoa Mirim,3,0.108672981636186
19,Rio Jaguarão,3,0.0859158498008198
20,Lagoa Mirim,3,0.0272940423367702
21,Rio Jaguarão,3,0.0105184142826288
22,Lagoa Mirim,3,0.0599729479616908
23,Lagoa Mirim,3,0.0294005124423597
24,Lagoa Mirim,3,0.0291746486285404
25,Lagoa Mirim,3,0.0359123654076665
26,Lagoa Mirim,3,0.0305560766339269
27,Rio Jaguarão,3,0.148331689703346
28,Lagoa Mirim,3,0.0383357430130636
29,Lagoa Mirim,3,0.112419195288843
30,Lagoa Mirim,3,0.0615407036147802
31,Lagoa Mirim,3,0.0211549712015988
32,Lagoa Mirim,3,0.02776754354371
33,Lagoa Mirim,3,0.0127341460049306
34,Lagoa Mirim,3,0.00957534351857134
35,Lagoa Mirim,3,0.0103562939450846
36,Lagoa Mirim,3,0.0389103371914901
37,Lagoa Mirim,3,0.0236827158451664
38,Lagoa Mirim,3,0.0328145026359474
39,Lagoa Mirim,3,0.0173936845556881
40,Arroio San Miguel,3,0.0110137488547976
41,Arroio San Miguel,3,0.143798480473232
42,Arroio Chuy,3,0.058974680477496
43,Arroyo Averias,3,0.0395156947060498
44,Arroio Chuy,3,0.0381002808605955
45,sem nome,999,0.00204969633293647
46,Rio Piranhas ou Açu,999,0.021054183933975
47,sem nome,5,0.0048447013666112
48,Rio Papocas,1,0.00345854705308683
49,Riacho Breião,999,0.00447034235563077
50,Rio Quaraí,3,0.0129457591497112
51,Rio Quaraí,3,0.00996555942667301
52,Rio Quaraí,3,0.0162544229636175
53,Rio Quaraí,3,0.0269312377766841
54,Rio Quaraí,3,0.0551287590681833
55,Rio Quaraí,3,0.0477813995804613
56,Rio Quaraí,3,0.0214285217698656
57,Rio Quaraí,3,0.0419329132936067
58,Rio Quaraí,3,0.0200020159866675
59,Rio Quaraí,3,0.0182230213017505
60,Rio Quaraí,3,0.0236655597300671
61,Rio Quaraí,3,0.0681923716599088
62,Rio Quaraí,3,0.0126854488370392
63,Rio Quaraí,3,0.00719223768697998
64,Rio Quaraí,3,0.00125769758111541
65,Rio Quaraí,3,0.0140436332366429
66,Rio Quaraí,3,0.0657004805973671
67,Rio Quaraí,3,0.0763203807654861
68,Rio Quaraí,4,0.00529396542084669
69,Rio Quaraí,4,0.0150951291287952
70,Rio Quaraí,4,0.022204381383493
71,Rio Quaraí,4,0.155018674616263
72,Rio Quaraí,4,0.00342351320598968
73,Rio Quaraí,4,0.00138943118028584
74,Arroio Moirões,4,0.0207806239094981
75,Arroio Moirões,4,0.00145829401695261
76,Arroio Invernada,4,0.111123644534513
77,Arroio Invernada,4,0.0375135493495592
78,Arroio São Luis,3,0.012813302967408
79,Arroio São Luis,3,0.0406963470775975
80,Arroio São Luis,5,0.126945963674607
81,Rio Maú ou Ireng,4,0.144997322542242
82,Rio Maú ou Ireng,4,0.00959238991082115
83,Rio Tacutu,4,0.0042967954953501
84,Rio Tacutu,4,0.0128985250608137
85,Rio Tacutu,4,0.130819335575547
86,Rio Tacutu,4,0.0418761360082817
87,Rio Tacutu,4,0.0839796090215636
88,Rio Tacutu,4,0.0725381009560724
89,Rio Tacutu,4,0.0251095060582756
90,Rio Tacutu,4,0.17583103769979
91,Lagoa Mirim,3,0.00840324444412109
92,Lagoa Mirim,3,0.0276310978685709
93,Lagoa Mirim,3,0.0637836234722921
94,Lagoa Mirim,3,0.0865235567119023
95,Lagoa Mirim,3,0.0348850674262103
96,Lagoa Mirim,3,0.0354047638542292
97,Lagoa Mirim,3,0.0356344108824365
98,Rio Jaguarão,4,0.0522392549545014
99,Lagoa Mirim,3,0.0227194370680888
100,Rio Jaguarão,4,0.0191991632385614
101,Lagoa Mirim,3,0.0276122649273632
