X,Y,OBJECTID,cd,cdestacao,sguf,entidade,corpodagua,ambiente,latitude,longitude,nuecoli,med_2001,med_2003,med_2004,med_2005,med_2006,med_2007,med_2008,med_2009,med_2010,med_2011,med_2012,med_2013,med_2014,med_2015,med_2016,med_2017,med_2018,med_2019,med_2020,min_2001,min_2003,min_2004,min_2005,min_2006,min_2007,min_2008,min_2009,min_2010,min_2011,min_2012,min_2013,min_2014,min_2015,min_2016,min_2017,min_2018,min_2019,min_2020,max_2001,max_2003,max_2004,max_2005,max_2006,max_2007,max_2008,max_2009,max_2010,max_2011,max_2012,max_2013,max_2014,max_2015,max_2016,max_2017,max_2018,max_2019,max_2020
-72.7187309999999,-7.60107699999998,1,1,12430000,AC,Sema,Rio Moa,1,-7.601077,-72.718731,2,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,19.2
-72.6606649999999,-7.63453799999996,2,2,12500004,AC,Sema,Rio Juruá,1,-7.634538,-72.660665,2,,,,,,,,,,,,,,,,,,,27.05,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,53.1
-70.7456666699999,-8.15191666699997,3,3,12600002,AC,Sema,Rio Tarauacá,1,-8.15191667,-70.74566667,2,,,,,,,,,,,,,,,,,,,11.6,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,22.2
-70.3895833299999,-8.16683333299994,4,4,12660000,AC,Sema,Rio Envira,1,-8.16683333,-70.38958333,2,,,,,,,,,,,,,,,,,,,16.7,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,32.4
-42.680556,-14.284444,5,38,CNDCER002,BA,INEMA,Açude Ceraíma,2,-14.284444,-42.680556,5,,,,,,,,,,,,,,,,,,,123.2,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,490
-43.188667,-12.6882219999999,6,41,CNDRSF300,BA,INGÁ,Rio São Francisco,1,-12.688222,-43.188667,6,,,,,,,,,,,,,,,,,,,977.16666667,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,4500
-42.225,-14.506111,7,43,CONANT100,BA,INEMA,do Antônio,1,-14.506111,-42.225,5,,,,,,,,,,,,,,,,,,,13500,,,,,,,,,,,,,,,,,,,3500,,,,,,,,,,,,,,,,,,,16000
-41.2549999999999,-14.7309999999999,8,45,CONBAG001,BA,INEMA,Barragem Anagé,2,-14.731,-41.255,6,,,,,,,,,,,,,,,,,,,559.66666667,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,1300
-41.22361,-14.689,9,46,CONBAG002,BA,INEMA,Barragem Anagé,2,-14.689,-41.22361,6,,,,,,,,,,,,,,,,,,,317.66666667,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,1700
-41.18722,-14.633,10,47,CONBAG003,BA,INEMA,Barragem Anagé,2,-14.633,-41.18722,6,,,,,,,,,,,,,,,,,,,3227.66666667,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,16000
