X,Y,OBJECTID,ID,CDESTACAO,ANO,SGUF,ENTIDADE,CORPODAGUA,AMBIENTE,NUOD,MEDOD,MINOD,MAXOD,DEVOD,LATITUDE,LONGITUDE
-49.9403579999999,-29.201904,1,174,SCRS-7759-IE-16,2021,SC,SDE-SC,Rio Mampituba,1,8,8.125,6.8,9.6,0.97064,-29.201904,-49.940358
-49.510093,-28.9280709999999,2,185,SC-7758-I-1,2021,SC,SDE-SC,Rio Araranguá,1,8,6.725,5,8.7,1.200893,-28.928071,-49.510093
-49.6224359999999,-28.834327,3,188,RSSC-788-IE-5,2021,SC,SDE-SC,Rio Manuel Alves,1,8,7.225,5.2,9.4,1.678222,-28.834327,-49.622436
-49.474703,-28.7488999999999,4,195,SC-7758-I-4,2021,SC,SDE-SC,Rio Mãe Luiza,1,8,6.9625,5.5,8.6,1.252355,-28.7489,-49.474703
-49.1730269999999,-28.6957889999999,5,198,SC-7757-I-3,2021,SC,SDE-SC,Rio Urussanga,1,8,5.8,3.7,8,1.386671,-28.695789,-49.173027
-48.97464,-28.4635069999999,6,203,SC-7756-I-2,2021,SC,SDE-SC,Rio Tubarão,1,8,7.125,6.1,8.6,0.795972,-28.463507,-48.97464
-49.01732,-28.3406899999999,7,206,SC-7756-I-5,2021,SC,SDE-SC,Rio Batateira,1,8,7.2625,5.8,9,1.097969,-28.34069,-49.01732
-49.1792,-28.3258,8,207,SC-7756-I-4,2021,SC,SDE-SC,Rio Braço do Norte,1,8,7.2375,5.2,9.5,1.333028,-28.3258,-49.1792
-48.8825859999999,-28.275951,9,209,SC-7756-R-15,2021,SC,SDE-SC,Rio Aragatingauba,1,8,6.75,5.7,7.6,0.807111,-28.275951,-48.882586
-49.1950019999999,-28.209416,10,211,SC-7756-I-13,2021,SC,SDE-SC,Rio Pequeno,1,8,7.475,4.7,9.7,1.534135,-28.209416,-49.195002
-48.767552,-28.0611709999999,11,215,,2021,SC,,,2,8,7.475,6.2,9,1.091199,-28.061171,-48.767552
-48.686999,-27.905089,12,224,SC-7755-I-17,2021,SC,SDE-SC,Rio da Madre,1,8,7.9375,6.9,9,0.853459,-27.905089,-48.686999
-48.9466179999999,-27.866791,13,229,SC-7756-R-28,2021,SC,SDE-SC,Rio Capivari,1,8,7.6125,6.4,9,1.062931,-27.866791,-48.946618
-48.893652,-27.721606,14,237,SC-7755-I-9,2021,SC,SDE-SC,Rio Cubatão,1,8,7.9375,6.5,9.2,0.992742,-27.721606,-48.893652
-48.6743749999999,-27.700228,15,240,SC-7755-I-12,2021,SC,SDE-SC,Rio Cubatão do Sul,1,8,6.9625,5.1,8.8,1.361656,-27.700228,-48.674375
-49.34512,-27.690829,16,241,SC-7754-I-17,2021,SC,SDE-SC,Rio Itajaí do Sul,1,8,7.9875,7.1,9.3,0.869216,-27.690829,-49.34512
-48.754725,-27.437877,17,254,SC-7755-I-11,2021,SC,SDE-SC,Rio dos Três Riachos,1,8,7.9125,6.3,9.2,1.002051,-27.437877,-48.754725
-48.9528,-27.4141999999999,18,255,SC-7755-I-6,2021,SC,SDE-SC,Rio Tijucas,1,8,7.7375,6.4,9.3,1.009862,-27.4142,-48.9528
-49.60382,-27.39591,19,257,SC-7754-I-7,2021,SC,SDE-SC,Rio Itajaí do Sul,1,8,7.3625,5.4,8.6,1.063602,-27.39591,-49.60382
-48.85,-27.275,20,261,SC-7755-I-2,2021,SC,SDE-SC,Rio Tijucas,1,8,7.6375,6.1,9.6,1.3564,-27.275,-48.85
-49.995916,-27.113645,21,263,SC-7754-I-10,2021,SC,SDE-SC,Rio Itajaí do Oeste,1,8,6.9625,5.2,8.7,1.353237,-27.113645,-49.995916
-49.4974769999999,-27.0781459999999,22,266,SC-7754-I-14,2021,SC,SDE-SC,Rio Itajaí do Norte/Hercílio,1,8,7.275,5.6,8.8,1.137353,-27.078146,-49.497477
-50.112967,-27.051599,23,267,SC-7754-I-3,2021,SC,SDE-SC,Rio Itajaí do Oeste,1,8,7.75,6.3,9,0.742582,-27.051599,-50.112967
-49.5869039999999,-27.0482909999999,24,268,SC-7754-I-6,2021,SC,SDE-SC,Rio Itajaí do Norte/Hercílio,1,8,6.8625,5.6,8.4,0.907016,-27.048291,-49.586904
-49.387503,-27.037211,25,269,SC-7754-I-2,2021,SC,SDE-SC,Ribeirão Neisse,1,8,7.425,5.3,9.2,1.270264,-27.037211,-49.387503
-48.860991,-27.033171,26,270,SC-7754-I-20,2021,SC,SDE-SC,Rio Itajaí Mirim,1,8,6.0625,3.6,8.7,1.729523,-27.033171,-48.860991
-49.092976,-27.028293,27,272,SC-7754-R-21,2021,SC,SDE-SC,Rio Garcia,1,8,8.3,7,10.1,0.944155,-27.028293,-49.092976
-48.6571049999999,-27.0204479999999,28,273,SC-7755-I-18,2021,SC,SDE-SC,Rio Camboriu,1,8,5.9375,1.3,8,2.194758,-27.020448,-48.657105
-49.289889,-26.9419149999999,29,274,SC-7754-I-13,2021,SC,SDE-SC,Rio Itajaí-Açu,1,8,7.25,6.1,9,1.062342,-26.941915,-49.289889
-49.0653,-26.9180739999999,30,276,SC-7754-I-4,2021,SC,SDE-SC,Rio Itajaí-Açu,1,8,7.2875,5.3,9.9,1.632209,-26.918074,-49.0653
-48.8244,-26.895079,31,277,SC-7754-I-12,2021,SC,SDE-SC,Rio Itajaí-Açu,1,8,6.5,5.1,9.3,1.459941,-26.895079,-48.8244
-49.138841,-26.892437,32,278,SC-7753-I-3,2021,SC,SDE-SC,Rio Itajaí-Açu,1,8,7.7125,6.7,9.5,0.949342,-26.892437,-49.138841
-49.2719,-26.8296999999999,33,280,SC-7754-I-9,2021,SC,SDE-SC,Rio Benedito,1,8,7.1625,4,8.7,1.591888,-26.8297,-49.2719
-49.8308949999999,-26.699987,34,281,SC-7754-R-22,2021,SC,SDE-SC,Rio Hercílio,1,8,7.8375,6.5,9.2,0.90859,-26.699987,-49.830895
