X,Y,OBJECTID,ID,CD,CDESTACAO,SGUF,ENTIDADE,CORPODAGUA,AMBIENTE,LATITUDE,LONGITUDE,NUIQA,MED_1978,MED_1979,MED_1980,MED_1981,MED_1982,MED_1983,MED_1984,MED_1985,MED_1986,MED_1987,MED_1988,MED_1989,MED_1990,MED_1991,MED_1992,MED_1993,MED_1994,MED_1995,MED_1996,MED_1997,MED_1998,MED_1999,MED_2000,MED_2001,MED_2002,MED_2003,MED_2004,MED_2005,MED_2006,MED_2007,MED_2008,MED_2009,MED_2010,MED_2011,MED_2012,MED_2013,MED_2014,MED_2015,MED_2016,MED_2017,MED_2018,MED_2019,MED_2020,MED_2021,MIN_1978,MIN_1979,MIN_1980,MIN_1981,MIN_1982,MIN_1983,MIN_1984,MIN_1985,MIN_1986,MIN_1987,MIN_1988,MIN_1989,MIN_1990,MIN_1991,MIN_1992,MIN_1993,MIN_1994,MIN_1995,MIN_1996,MIN_1997,MIN_1998,MIN_1999,MIN_2000,MIN_2001,MIN_2002,MIN_2003,MIN_2004,MIN_2005,MIN_2006,MIN_2007,MIN_2008,MIN_2009,MIN_2010,MIN_2011,MIN_2012,MIN_2013,MIN_2014,MIN_2015,MIN_2016,MIN_2017,MIN_2018,MIN_2019,MIN_2020,MIN_2021,MAX_1978,MAX_1979,MAX_1980,MAX_1981,MAX_1982,MAX_1983,MAX_1984,MAX_1985,MAX_1986,MAX_1987,MAX_1988,MAX_1989,MAX_1990,MAX_1991,MAX_1992,MAX_1993,MAX_1994,MAX_1995,MAX_1996,MAX_1997,MAX_1998,MAX_1999,MAX_2000,MAX_2001,MAX_2002,MAX_2003,MAX_2004,MAX_2005,MAX_2006,MAX_2007,MAX_2008,MAX_2009,MAX_2010,MAX_2011,MAX_2012,MAX_2013,MAX_2014,MAX_2015,MAX_2016,MAX_2017,MAX_2018,MAX_2019,MAX_2020,MAX_2021
-53.4326179999999,-33.499316,1,1,2,88045000,RS,FEPAM,Lagoa Mirim,2,-33.499316,-53.432618,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.201838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.927723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.319385,,
-53.0291099999999,-33.11114,2,2,3,88070000 ou GER68,RS,FEPAM,Arroio Del Rey,1,-33.11114,-53.02911,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.339936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.543172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.252447,,
-52.693726,-32.937473,3,3,4,88150800,RS,FEPAM,Lagoa Mangueira,2,-32.937473,-52.693726,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.236911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.554873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.388753,,
-53.149368,-32.6402209999999,4,4,5,88316000,RS,FEPAM,Lagoa Mirim,2,-32.640221,-53.149368,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.345623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.920613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.652583,,
-53.36707,-32.57143,5,5,6,88300500 ou GER61,RS,FEPAM,Rio Jaquarão,1,-32.57143,-53.36707,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.180034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.152945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.805435,,
-53.452506,-32.461383,6,6,7,88261000,RS,FEPAM,Arroio Telho,1,-32.461383,-53.452506,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.219743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.471174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.54863,,
-52.82341,-32.3344099999999,7,7,8,88365000,RS,FEPAM,Lagoa Mirim,2,-32.33441,-52.82341,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.455157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.163523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.700682,,
-52.9260899999999,-32.33091,8,8,9,88399000 ou GER62,RS,FEPAM,Arroio Grande,1,-32.33091,-52.92609,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.146668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.166941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.339907,,
-53.656425,-32.287611,9,9,10,88300800,RS,FEPAM,Rio Jaguarão,1,-32.287611,-53.656425,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.646138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.217024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.075251,,
-53.090063,-32.2393549999999,10,10,11,88370100,RS,FEPAM,Arroio Grande,1,-32.239355,-53.090063,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.819234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.098213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.201891,,
